_time,_start,_stop,CodeID,DeviceName,Foot,_measurement,app,lat,lng,mac,type,Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz,S0,S1,S2,modA
2024-04-25 14:15:30.029000+00:00,2024-04-25 14:15:30+00:00,2024-04-25 14:17:30+00:00,TABUENCA01-45,Sensoria-C1-EEA1,Right,Gait,1.0.5,40.3887119,-3.6292984,CB:AA:BC:3F:36:A5,SCKS,-0.199219,0.785157,0.023438,43.68,-50.400002,-215.040009,0.252288,0.803584,-0.317696,498,722,704,0.8103758784996009
2024-04-25 14:15:30.037000+00:00,2024-04-25 14:15:30+00:00,2024-04-25 14:17:30+00:00,TABUENCA01-45,Sensoria-C1-E90A,Left,Gait,1.0.5,40.3887119,-3.6292984,F0:75:B1:51:59:F6,SCKS,0.03125,0.9375,-0.21875,2.24,-19.040001,-11.2,0.355072,0.691456,-0.177536,545,444,497,0.9631896879639026
2024-04-25 14:15:30.045000+00:00,2024-04-25 14:15:30+00:00,2024-04-25 14:17:30+00:00,TABUENCA01-45,Sensoria-C1-EEA1,Right,Gait,1.0.5,40.3887119,-3.6292984,CB:AA:BC:3F:36:A5,SCKS,-0.164063,1.015626,0.042969,39.200001,-38.080002,-248.639999,0.205568,0.79424,-0.317696,499,721,701,1.0296888728183868
2024-04-25 14:15:30.054000+00:00,2024-04-25 14:15:30+00:00,2024-04-25 14:17:30+00:00,TABUENCA01-45,Sensoria-C1-E90A,Left,Gait,1.0.5,40.3887119,-3.6292984,F0:75:B1:51:59:F6,SCKS,0.0,0.968749,-0.1875,-1.12,-16.799999,-8.96,0.355072,0.691456,-0.168192,535,435,516,0.9867273559606017
2024-04-25 14:15:30.062000+00:00,2024-04-25 14:15:30+00:00,2024-04-25 14:17:30+00:00,TABUENCA01-45,Sensoria-C1-EEA1,Right,Gait,1.0.5,40.3887119,-3.6292984,CB:AA:BC:3F:36:A5,SCKS,-0.207031,1.187501,0.097656,33.599998,-24.639999,-266.559998,0.205568,0.79424,-0.317696,498,719,701,1.2093622924078622
2024-04-25 14:15:30.078000+00:00,2024-04-25 14:15:30+00:00,2024-04-25 14:17:30+00:00,TABUENCA01-45,Sensoria-C1-EEA1,Right,Gait,1.0.5,40.3887119,-3.6292984,CB:AA:BC:3F:36:A5,SCKS,-0.269531,1.410157,0.15625,28.0,-13.440001,-282.23999,0.158848,0.784896,-0.308352,498,720,702,1.4441619670625592
2024-04-25 14:15:30.086000+00:00,2024-04-25 14:15:30+00:00,2024-04-25 14:17:30+00:00,TABUENCA01-45,Sensoria-C1-E90A,Left,Gait,1.0.5,40.3887119,-3.6292984,F0:75:B1:51:59:F6,SCKS,0.0,0.9375,-0.21875,-4.48,-17.92,-6.72,0.355072,0.691456,-0.177536,532,429,536,0.9626826125468352
2024-04-25 14:15:30.111000+00:00,2024-04-25 14:15:30+00:00,2024-04-25 14:17:30+00:00,TABUENCA01-45,Sensoria-C1-EEA1,Right,Gait,1.0.5,40.3887119,-3.6292984,CB:AA:BC:3F:36:A5,SCKS,-0.226563,1.632814,0.207031,20.16,-4.48,-293.440002,0.112128,0.766208,-0.308352,497,720,702,1.6614072909813535
2024-04-25 14:15:30.118000+00:00,2024-04-25 14:15:30+00:00,2024-04-25 14:17:30+00:00,TABUENCA01-45,Sensoria-C1-E90A,Left,Gait,1.0.5,40.3887119,-3.6292984,F0:75:B1:51:59:F6,SCKS,0.0,0.9375,-0.1875,-6.72,-19.040001,-6.72,0.345728,0.7008,-0.177536,524,421,550,0.9560661587986472
2024-04-25 14:15:30.127000+00:00,2024-04-25 14:15:30+00:00,2024-04-25 14:17:30+00:00,TABUENCA01-45,Sensoria-C1-EEA1,Right,Gait,1.0.5,40.3887119,-3.6292984,CB:AA:BC:3F:36:A5,SCKS,-0.203125,1.843751,0.171875,15.68,1.12,-305.76001,0.065408,0.738176,-0.308352,498,718,702,1.862852256957325
